【販売スケジュール】,,,2022年11月,
,,八草キャンパス,,自由が丘
,,一号館前,セントラルガーデン,本館二階駐車場前
1,火,,,
2,水,からあげ178（からあげ丼）,ヘヴンズカフェ(ケバブ）,Take Eat EZY（丼）
3,木,,,
4,金,金鯱からあげ（からあげ）,ベイサデケバブ（ケバブ）,
5,土,,,
6,日,,,
7,月,Take Eat EZY（丼）,ハニーエイト（ハニーポテト）,
8,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
9,水,青空キッチン（からあげ丼）,サニーズ（クレープ）,ブラザー69（バーガー）
10,木,アルス（インドカレー）,チルアウト（からあげ）,
11,金,金鯱からあげ（からあげ）,ベイサデケバブ（ケバブ）,
12,土,,,
13,日,,,
14,月,ヘヴンズカフェ(ケバブ）,錦(焼き芋),
15,火,ブラザー69（バーガー）,金鯱からあげ（からあげ）,
16,水,miu crepe cafe（クレープ）,ベイサデケバブ（ケバブ）,ハニーエイト（ハニーポテト）
17,木,ヘヴンズカフェ(ケバブ）,ハニーエイト（ハニーポテト）,
18,金,金鯱からあげ（からあげ）,アルス（インドカレー）,
19,土,,,
20,日,,,
21,月,いしいも(焼き芋）,ヘヴンズカフェ(ケバブ）,
22,火,ポポ（メロンパン）,金鯱からあげ（からあげ）,
23,水,,,
24,木,アルス（インドカレー）,あげものHouseゆみちゃん（からあげ、丼）,
25,金,金鯱からあげ（からあげ）,クッキングスマイルスイーツ（パフェ）,
26,土,,,
27,日,,,
28,月,ベイサデケバブ（ケバブ）,ハニーエイト（ハニーポテト）,
29,火,アルス（インドカレー）,金鯱からあげ（からあげ）,
30,水,サニーズ（クレープ）,ブラザー69（バーガー）,からあげ178（からあげ丼）
,,※予定は変更になることがあります。,,